product,quarter,department,departement ,targeted_productivity,smv (standart minute value),total work hour ,incentive,idle_time,no_of_workers,product_value_rate
Project F,Quarter1,Junior,5,0.7,45.67,6960,26,0,58,0.603432184
Project F,Quarter1,Senior,11,0.75,4.15,960,0,0,8,0.345833333
Project A,Quarter1,Senior,1,0.8,3.94,1920,0,0,8,0.961059028
Project A,Quarter1,Senior,11,0.8,3.94,2400,0,0,10,0.939513889
Project A,Quarter1,Senior,4,0.8,3.94,3840,0,0,16,0.893663194
Project A,Quarter1,Senior,3,0.75,4.15,1920,0,0,8,0.875390625
Project A,Quarter1,Junior,9,0.8,26.16,7080,75,0,59,0.850569492
Project A,Quarter1,Senior,9,0.8,2.9,1920,0,0,8,0.820833333
Project A,Quarter1,Senior,2,0.8,3.94,960,0,0,8,0.804416667
Project A,Quarter1,Junior,7,0.8,25.9,6780,50,0,56.5,0.800684366
Project A,Quarter1,Junior,8,0.8,25.9,6780,38,0,56.5,0.800684366
Project A,Quarter1,Junior,1,0.8,26.16,7080,63,0,59,0.800318644
Project A,Quarter1,Junior,11,0.8,19.31,4800,50,0,55,0.800250962
Project A,Quarter1,Junior,6,0.8,11.61,7200,50,0,32,0.800246011
Project A,Quarter1,Junior,12,0.8,11.61,7200,50,0,32,0.800246011
Project A,Quarter1,Junior,2,0.8,28.08,6900,50,0,57.5,0.800076522
Project A,Quarter1,Junior,4,0.8,28.08,6900,50,0,57.5,0.800076522
Project A,Quarter1,Senior,10,0.75,2.9,960,0,0,8,0.763375
Project A,Quarter1,Senior,5,0.6,2.9,960,0,0,8,0.759270833
Project A,Quarter1,Junior,10,0.75,28.08,7020,45,0,58.5,0.7504
Project A,Quarter1,Junior,3,0.75,19.87,6600,45,0,55,0.75024303
Project A,Quarter1,Senior,7,0.8,3.94,960,0,0,8,0.676666667
Project A,Quarter1,Senior,8,0.8,2.9,960,0,0,8,0.664583333
Project A,Quarter1,Junior,5,0.6,21.98,6960,23,0,58,0.600028736
Project C,Quarter1,Senior,4,0.8,3.94,4440,0,0,18,0.966781346
Project C,Quarter1,Senior,1,0.8,3.94,1440,0,0,8,0.936496212
Project C,Quarter1,Senior,3,0.75,4.15,1800,0,0,10,0.899166667
Project C,Quarter1,Senior,11,0.8,4.15,2700,0,0,15,0.888686869
Project C,Quarter1,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project C,Quarter1,Junior,1,0.8,26.16,10620,75,0,59,0.850502311
Project C,Quarter1,Junior,9,0.8,26.16,10620,75,0,59,0.850502311
Project C,Quarter1,Senior,10,0.75,3.94,1440,0,0,8,0.809640152
Project C,Quarter1,Senior,2,0.8,3.94,1440,0,0,8,0.805909091
Project C,Quarter1,Junior,2,0.8,28.08,10350,50,0,57.5,0.800594466
Project C,Quarter1,Junior,4,0.8,28.08,10350,50,0,57.5,0.800594466
Project C,Quarter1,Junior,3,0.8,19.87,9900,50,0,55,0.800273829
Project C,Quarter1,Junior,12,0.8,11.61,5310,50,0,31.5,0.800140969
Project C,Quarter1,Junior,7,0.8,25.9,10170,38,0,56.5,0.800128721
Project C,Quarter1,Junior,8,0.8,25.9,10170,38,0,56.5,0.800128721
Project C,Quarter1,Junior,6,0.8,11.61,4470,38,0,31.5,0.80007657
Project C,Quarter1,Junior,10,0.75,28.08,10530,45,0,58.5,0.750545455
Project C,Quarter1,Junior,11,0.75,19.31,9900,45,0,55,0.750057851
Project C,Quarter1,Senior,8,0.8,2.9,1440,0,0,8,0.681060606
Project C,Quarter1,Junior,5,0.65,21.98,10440,35,0,58,0.649983281
Project C,Quarter1,Senior,7,0.8,2.9,1440,0,0,8,0.61625
Project D,Quarter1,Senior,1,0.8,3.94,1440,0,0,8,0.951420455
Project D,Quarter1,Senior,9,0.8,3.94,1440,0,0,8,0.880530303
Project D,Quarter1,Junior,1,0.8,26.16,10620,75,0,59,0.850502311
Project D,Quarter1,Junior,9,0.8,26.16,10620,75,0,59,0.850502311
Project D,Quarter1,Junior,8,0.8,25.9,10170,60,0,56.5,0.850136766
Project D,Quarter1,Senior,3,0.75,4.15,2700,0,0,15,0.83
Project D,Quarter1,Senior,4,0.8,3.94,4440,0,0,18,0.827186544
Project D,Quarter1,Senior,2,0.8,3.94,1440,0,0,8,0.813371212
Project D,Quarter1,Senior,10,0.75,3.94,1440,0,0,8,0.805909091
Project D,Quarter1,Senior,7,0.8,2.9,1440,0,0,8,0.804640152
Project D,Quarter1,Junior,2,0.8,28.08,10350,63,0,57.5,0.800594466
Project D,Quarter1,Junior,4,0.8,28.08,10350,50,0,57.5,0.800594466
Project D,Quarter1,Junior,6,0.8,11.41,5490,50,0,30.5,0.800343766
Project D,Quarter1,Junior,3,0.8,19.87,9900,50,0,55,0.800273829
Project D,Quarter1,Junior,12,0.8,11.61,5670,50,0,31.5,0.800246753
Project D,Quarter1,Junior,7,0.8,25.9,10170,50,0,56.5,0.800128721
Project D,Quarter1,Junior,10,0.75,28.08,10530,69,0,58.5,0.8
Project D,Quarter1,Junior,5,0.7,21.98,9720,40,0,58,0.700480831
Project D,Quarter1,Senior,8,0.8,2.9,1440,0,0,8,0.681060606
Project D,Quarter1,Senior,6,0.8,2.9,1800,0,0,10,0.666515152
Project D,Quarter1,Junior,11,0.8,31.83,9900,40,0,55,0.412119835
Project D,Quarter1,Senior,5,0.7,4.15,1440,0,0,8,0.330113636
Project B,Quarter2,Senior,1,0.8,3.94,1440,0,0,8,0.947689394
Project B,Quarter2,Senior,4,0.8,3.94,12600,0,0,20,0.919905405
Project B,Quarter2,Junior,9,0.8,26.16,10620,88,0,59,0.900215716
Project B,Quarter2,Senior,9,0.8,3.94,1440,0,0,8,0.891723485
Project B,Quarter2,Junior,1,0.8,26.16,10620,75,0,59,0.850502311
Project B,Quarter2,Junior,4,0.8,28.08,10530,75,0,58.5,0.850181818
Project B,Quarter2,Junior,7,0.8,25.9,10170,60,0,56.5,0.850136766
Project B,Quarter2,Junior,8,0.8,25.9,10170,60,0,56.5,0.850136766
Project B,Quarter2,Senior,2,0.8,3.94,1440,0,0,8,0.835757576
Project B,Quarter2,Senior,5,0.7,4.15,3840,0,0,8,0.821354167
Project B,Quarter2,Junior,2,0.8,28.08,10050,63,0,58.5,0.800497246
Project B,Quarter2,Junior,3,0.8,19.87,9900,50,0,55,0.800273829
Project B,Quarter2,Junior,12,0.8,11.61,15120,63,0,31.5,0.800107143
Project B,Quarter2,Junior,6,0.8,11.41,14640,50,0,30.5,0.800024932
Project B,Quarter2,Junior,10,0.75,28.08,10530,69,0,58.5,0.8
Project B,Quarter2,Senior,10,0.75,3.94,1440,0,0,8,0.779791667
Project B,Quarter2,Senior,8,0.8,2.9,1440,0,0,8,0.735984848
Project B,Quarter2,Senior,3,0.75,4.15,2160,0,0,12,0.712626263
Project B,Quarter2,Senior,7,0.8,2.9,1440,0,0,8,0.681060606
Project B,Quarter2,Senior,11,0.8,4.15,900,0,0,5,0.515606061
Project B,Quarter2,Junior,11,0.35,12.52,25920,38,0,54,0.349951389
Project B,Quarter2,Junior,5,0.7,42.41,10260,0,0,57,0.233705476
Project E,Quarter2,Senior,1,0.8,3.94,2160,0,0,8,0.985
Project E,Quarter2,Senior,3,0.75,4.15,2760,0,0,12,0.930340376
Project E,Quarter2,Senior,4,0.8,3.94,6000,0,0,20,0.911589744
Project E,Quarter2,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project E,Quarter2,Junior,9,0.8,26.16,10620,75,0,59,0.851174114
Project E,Quarter2,Junior,7,0.8,25.9,10170,60,0,56.5,0.850136766
Project E,Quarter2,Junior,8,0.8,25.9,10170,60,0,56.5,0.850136766
Project E,Quarter2,Senior,10,0.8,3.94,1440,0,0,8,0.846950758
Project E,Quarter2,Senior,11,0.8,4.15,1440,0,0,8,0.817424242
Project E,Quarter2,Senior,2,0.8,3.94,1440,0,0,8,0.817102273
Project E,Quarter2,Junior,4,0.8,28.08,10440,63,0,58,0.801028213
Project E,Quarter2,Junior,2,0.8,28.08,10350,63,0,57.5,0.800594466
Project E,Quarter2,Junior,12,0.8,11.61,4710,50,0,31.5,0.800346445
Project E,Quarter2,Junior,6,0.8,11.41,5490,50,0,30.5,0.800343766
Project E,Quarter2,Junior,1,0.8,26.16,10620,63,0,59,0.800117103
Project E,Quarter2,Junior,10,0.8,28.08,10530,63,0,58.5,0.8
Project E,Quarter2,Junior,3,0.75,19.87,7080,45,0,56,0.750098351
Project E,Quarter2,Junior,11,0.5,12.52,9540,38,0,53,0.673245283
Project E,Quarter2,Senior,7,0.8,2.9,1440,0,0,8,0.670075758
Project E,Quarter2,Senior,8,0.8,2.9,1440,0,0,8,0.628882576
Project E,Quarter2,Junior,5,0.5,20.79,7680,0,0,56,0.388007813
Project E,Quarter2,Senior,5,0.5,4.15,1440,0,0,8,0.337973485
Project F,Quarter2,Senior,3,0.75,4.15,1440,0,0,8,0.93532197
Project F,Quarter2,Senior,4,0.8,3.94,3600,0,0,20,0.925643939
Project F,Quarter2,Junior,9,0.8,26.16,10620,88,0,59,0.900215716
Project F,Quarter2,Senior,1,0.8,3.94,1440,0,0,8,0.873068182
Project F,Quarter2,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project F,Quarter2,Junior,1,0.8,26.16,10620,75,0,59,0.850502311
Project F,Quarter2,Junior,7,0.8,25.9,10170,45,0,56.5,0.850136766
Project F,Quarter2,Junior,8,0.8,25.9,10170,60,0,56.5,0.850136766
Project F,Quarter2,Senior,10,0.8,3.94,1440,0,0,8,0.828295455
Project F,Quarter2,Senior,2,0.8,3.94,1440,0,0,8,0.820833333
Project F,Quarter2,Junior,6,0.8,11.41,5490,50,0,30.5,0.800343766
Project F,Quarter2,Junior,12,0.8,11.61,5670,50,0,31.5,0.800246753
Project F,Quarter2,Junior,2,0.8,28.08,10530,63,0,58.5,0.8
Project F,Quarter2,Junior,10,0.8,28.08,10530,38,0,58.5,0.8
Project F,Quarter2,Junior,3,0.8,19.87,6420,0,0,55,0.690182815
Project F,Quarter2,Senior,11,0.8,4.15,1440,0,0,8,0.668087121
Project F,Quarter2,Senior,8,0.8,2.9,1440,0,0,8,0.653598485
Project F,Quarter2,Senior,5,0.5,4.15,1440,0,0,8,0.609138258
Project F,Quarter2,Junior,11,0.6,12.52,9540,30,0,53,0.600229846
Project F,Quarter2,Senior,6,0.8,2.9,1440,0,0,8,0.597348485
Project F,Quarter2,Senior,7,0.8,2.9,1440,0,0,8,0.590435606
Project F,Quarter2,Junior,4,0.8,50.48,10440,0,0,58,0.473134796
Project F,Quarter2,Junior,5,0.6,20.79,7980,0,0,57,0.452979626
Project A,Quarter2,Senior,1,0.8,3.94,1440,0,0,8,0.955151515
Project A,Quarter2,Senior,4,0.35,4.3,3240,0,0,18,0.942213805
Project A,Quarter2,Senior,3,0.8,4.15,1800,0,0,10,0.905454545
Project A,Quarter2,Senior,2,0.8,3.94,1440,0,0,8,0.880530303
Project A,Quarter2,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project A,Quarter2,Junior,1,0.8,26.16,8220,75,0,59,0.850522167
Project A,Quarter2,Junior,9,0.8,26.16,10620,75,0,59,0.850502311
Project A,Quarter2,Junior,7,0.8,25.9,10170,60,0,56.5,0.850136766
Project A,Quarter2,Junior,8,0.8,25.9,10170,60,0,56.5,0.850136766
Project A,Quarter2,Senior,6,0.8,2.9,1440,0,0,8,0.817424242
Project A,Quarter2,Senior,5,0.65,4.15,1440,0,0,8,0.809564394
Project A,Quarter2,Junior,3,0.8,19.87,9900,0,0,55,0.800273829
Project A,Quarter2,Junior,6,0.8,11.41,5670,50,0,31.5,0.800181818
Project A,Quarter2,Junior,12,0.8,11.61,4470,50,0,31.5,0.80007657
Project A,Quarter2,Junior,2,0.8,28.08,10530,63,0,58.5,0.8
Project A,Quarter2,Senior,8,0.8,2.9,1440,0,0,8,0.725
Project A,Quarter2,Junior,10,0.8,50.48,6930,45,0,58.5,0.688557555
Project A,Quarter2,Junior,5,0.65,20.79,8460,0,0,59,0.650040783
Project A,Quarter2,Junior,11,0.65,12.52,9540,44,0,53,0.64998056
Project A,Quarter2,Senior,7,0.8,2.9,1440,0,0,8,0.648106061
Project A,Quarter2,Senior,11,0.8,4.15,1440,0,0,8,0.640577652
Project A,Quarter2,Junior,4,0.35,22.4,7350,0,0,51.5,0.35063299
Project A,Quarter2,Senior,10,0.8,3.94,1440,0,0,8,0.24625
Project C,Quarter2,Senior,4,0.35,4.3,2160,0,0,12,0.952020202
Project C,Quarter2,Senior,1,0.8,3.94,1440,0,0,2,0.951420455
Project C,Quarter2,Senior,10,0.8,3.94,5400,0,0,20,0.912766667
Project C,Quarter2,Senior,3,0.8,4.15,1620,0,0,9,0.901262626
Project C,Quarter2,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project C,Quarter2,Junior,1,0.8,26.16,10620,75,0,59,0.850502311
Project C,Quarter2,Junior,9,0.8,26.16,10620,75,0,59,0.850502311
Project C,Quarter2,Junior,8,0.8,25.9,10260,60,0,57,0.850252525
Project C,Quarter2,Junior,7,0.8,25.9,10170,60,0,56.5,0.850136766
Project C,Quarter2,Senior,5,0.65,4.15,1440,0,0,8,0.821354167
Project C,Quarter2,Senior,2,0.8,3.94,1440,0,0,8,0.805909091
Project C,Quarter2,Junior,6,0.8,11.61,5670,50,0,31.5,0.800246753
Project C,Quarter2,Junior,12,0.8,11.61,5670,50,0,31.5,0.800246753
Project C,Quarter2,Junior,2,0.8,28.08,10530,50,0,58.5,0.8
Project C,Quarter2,Junior,3,0.8,42.27,9900,54,0,55,0.705576584
Project C,Quarter2,Senior,8,0.8,2.9,1440,0,0,8,0.681060606
Project C,Quarter2,Senior,7,0.8,2.9,1440,0,0,8,0.670075758
Project C,Quarter2,Senior,11,0.8,4.15,1440,0,0,8,0.601278409
Project C,Quarter2,Junior,11,0.7,27.13,9540,37,0,53,0.582301029
Project C,Quarter2,Junior,5,0.7,20.79,10440,0,0,58,0.526810345
Project C,Quarter2,Junior,4,0.5,22.4,10170,23,0,56.5,0.500380799
Project C,Quarter2,Junior,10,0.35,22.4,10170,23,0,56.5,0.35020649
Project D,Quarter2,Senior,11,0.8,4.15,1980,0,0,7,0.934607438
Project D,Quarter2,Senior,4,0.35,4.3,2700,0,0,8,0.908080808
Project D,Quarter2,Junior,7,0.8,25.9,10170,70,0,56.5,0.900144811
Project D,Quarter2,Senior,1,0.8,3.94,1440,0,0,8,0.891723485
Project D,Quarter2,Senior,5,0.65,4.15,1440,0,0,15,0.864583333
Project D,Quarter2,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project D,Quarter2,Junior,9,0.8,26.16,10620,75,0,59,0.850502311
Project D,Quarter2,Junior,8,0.8,25.9,10170,60,0,56.5,0.850136766
Project D,Quarter2,Senior,7,0.8,2.9,1440,0,0,8,0.837594697
Project D,Quarter2,Senior,3,0.8,4.15,1440,0,0,7,0.820833333
Project D,Quarter2,Junior,12,0.8,11.61,2970,50,0,31.5,0.800313433
Project D,Quarter2,Junior,6,0.8,11.61,5670,38,0,31.5,0.800246753
Project D,Quarter2,Junior,1,0.8,26.16,10620,63,0,59,0.800117103
Project D,Quarter2,Junior,5,0.7,20.79,7320,0,0,58,0.700095563
Project D,Quarter2,Senior,8,0.8,2.9,1440,0,0,8,0.667329545
Project D,Quarter2,Junior,4,0.6,22.4,5100,23,0,57,0.600369686
Project D,Quarter2,Junior,10,0.5,22.4,3390,23,0,56.5,0.499980334
Project D,Quarter2,Junior,11,0.35,14.61,7200,23,0,55,0.35003125
Project D,Quarter2,Senior,10,0.8,3.94,1260,0,0,8,0.332359307
Project D,Quarter2,Junior,2,0.8,51.02,4260,27,0,57,0.311207464
Project D,Quarter2,Senior,2,0.8,3.94,1260,0,0,8,0.247316017
Project B,Quarter3,Senior,4,0.35,4.3,3600,0,0,20,0.988636364
Project B,Quarter3,Senior,10,0.8,3.94,3420,0,0,19,0.953110048
Project B,Quarter3,Senior,1,0.8,3.94,1440,0,0,8,0.884261364
Project B,Quarter3,Senior,5,0.65,4.15,1440,0,0,8,0.860653409
Project B,Quarter3,Senior,9,0.8,3.94,1440,0,0,8,0.858143939
Project B,Quarter3,Junior,1,0.8,26.16,10620,75,0,59,0.850502311
Project B,Quarter3,Junior,8,0.8,25.9,8970,60,0,56.5,0.850415628
Project B,Quarter3,Junior,7,0.8,25.9,10170,60,0,56.5,0.850136766
Project B,Quarter3,Junior,9,0.8,26.16,10620,63,0,59,0.800117103
Project B,Quarter3,Junior,6,0.8,11.61,4950,38,0,31.5,0.80003139
Project B,Quarter3,Junior,12,0.8,11.61,4950,50,0,31.5,0.80003139
Project B,Quarter3,Junior,5,0.7,20.79,10440,0,0,58,0.700060345
Project B,Quarter3,Senior,7,0.8,2.9,1440,0,0,8,0.689299242
Project B,Quarter3,Junior,3,0.5,22.52,10170,30,0,56.5,0.660683293
Project B,Quarter3,Junior,4,0.65,22.52,10080,26,0,56,0.650130952
Project B,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.606912879
Project B,Quarter3,Junior,10,0.6,22.52,10170,23,0,56.5,0.600291767
Project B,Quarter3,Junior,11,0.5,14.89,9900,30,0,55,0.500025069
Project B,Quarter3,Junior,2,0.5,22.94,9810,23,0,54.5,0.499998888
Project E,Quarter3,Senior,5,0.65,4.15,2700,0,0,15,0.98719697
Project E,Quarter3,Senior,2,0.8,3.94,1800,0,0,10,0.980909091
Project E,Quarter3,Senior,10,0.8,3.94,1440,0,0,8,0.974621212
Project E,Quarter3,Senior,1,0.8,3.94,1440,0,0,8,0.884261364
Project E,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.82680303
Project E,Quarter3,Junior,6,0.8,11.41,5490,63,0,30.5,0.800343766
Project E,Quarter3,Junior,12,0.8,11.61,5670,63,0,31.5,0.800246753
Project E,Quarter3,Junior,7,0.8,25.9,10170,50,0,56.5,0.800128721
Project E,Quarter3,Junior,8,0.8,25.9,10170,50,0,56.5,0.800128721
Project E,Quarter3,Junior,1,0.8,48.68,10620,63,0,59,0.800117103
Project E,Quarter3,Junior,9,0.8,26.16,10620,63,0,59,0.800117103
Project E,Quarter3,Junior,2,0.6,22.94,6570,23,0,56.5,0.77011398
Project E,Quarter3,Junior,4,0.7,22.52,10170,50,0,56.5,0.7005417
Project E,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.675568182
Project E,Quarter3,Senior,7,0.8,2.9,1440,0,0,8,0.661837121
Project E,Quarter3,Junior,10,0.65,22.52,9720,35,0,54,0.650198653
Project E,Quarter3,Junior,3,0.6,22.52,10170,30,0,56.5,0.600291767
Project E,Quarter3,Junior,11,0.6,14.89,10080,38,0,56,0.600273268
Project E,Quarter3,Senior,6,0.8,2.9,900,0,0,5,0.465757576
Project E,Quarter3,Junior,5,0.7,41.19,10440,21,0,58,0.452012539
Project E,Quarter3,Senior,11,0.8,4.15,1260,0,0,7,0.313852814
Project F,Quarter3,Senior,5,0.6,4.15,1440,0,0,8,0.852793561
Project F,Quarter3,Senior,11,0.65,4.15,2160,0,0,12,0.838383838
Project F,Quarter3,Senior,6,0.8,2.9,1800,0,0,10,0.804848485
Project F,Quarter3,Junior,6,0.8,11.41,5490,63,0,30.5,0.800343766
Project F,Quarter3,Junior,7,0.8,48.84,10170,50,0,56.5,0.800128721
Project F,Quarter3,Junior,8,0.8,25.9,10170,38,0,56.5,0.800128721
Project F,Quarter3,Junior,9,0.8,26.16,3660,50,0,59,0.800015009
Project F,Quarter3,Junior,4,0.7,22.52,10170,50,0,56.5,0.7005417
Project F,Quarter3,Junior,10,0.7,22.52,10080,40,0,56,0.700094156
Project F,Quarter3,Senior,7,0.8,2.9,1440,0,0,8,0.692045455
Project F,Quarter3,Junior,12,0.8,26.87,5670,56,0,31.5,0.662255892
Project F,Quarter3,Junior,3,0.65,22.52,10170,35,0,56.5,0.650416734
Project F,Quarter3,Junior,11,0.65,14.89,10260,44,0,57,0.650299575
Project F,Quarter3,Junior,2,0.65,22.94,10170,26,0,56.5,0.650243497
Project F,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.639867424
Project F,Quarter3,Junior,5,0.6,20.4,10440,30,0,58,0.600062696
Project F,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.582045455
Project F,Quarter3,Junior,1,0.8,49.1,10350,24,0,57.5,0.403242161
Project F,Quarter3,Senior,10,0.7,3.94,1440,0,0,8,0.235795455
Project A,Quarter3,Senior,4,0.7,4.3,5040,0,0,28,0.977272727
Project A,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.964106061
Project A,Quarter3,Senior,5,0.65,4.15,1440,0,0,8,0.958901515
Project A,Quarter3,Junior,6,0.8,11.41,4380,50,0,31,0.800358775
Project A,Quarter3,Junior,8,0.8,25.9,3630,50,0,56.5,0.800162602
Project A,Quarter3,Junior,9,0.8,26.16,10620,63,0,59,0.800117103
Project A,Quarter3,Senior,12,0.8,2.9,1440,0,0,8,0.793844697
Project A,Quarter3,Junior,2,0.7,22.94,10170,38,0,56.5,0.750517565
Project A,Quarter3,Junior,4,0.7,22.52,10260,63,0,57,0.750068049
Project A,Quarter3,Junior,3,0.7,22.52,10170,50,0,56.5,0.750062751
Project A,Quarter3,Junior,10,0.7,22.52,10080,63,0,56,0.750057359
Project A,Quarter3,Junior,11,0.7,14.89,10260,50,0,57,0.700170388
Project A,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.683806818
Project A,Quarter3,Junior,5,0.65,20.4,8280,35,0,58,0.650066445
Project A,Quarter3,Junior,7,0.8,48.84,10260,30,0,57,0.576460393
Project A,Quarter3,Junior,1,0.5,22.94,10170,30,0,56.5,0.549969429
Project A,Quarter3,Senior,10,0.7,3.94,1440,0,0,8,0.538399621
Project A,Quarter3,Senior,11,0.7,4.15,1440,0,0,8,0.409545455
Project A,Quarter3,Junior,12,0.35,15.26,6120,23,0,34,0.35021836
Project C,Quarter3,Senior,5,0.7,4.15,1440,0,0,8,1.033570076
Project C,Quarter3,Junior,6,0.8,11.41,5580,63,0,31,0.800261486
Project C,Quarter3,Junior,8,0.8,25.9,10170,50,0,56.5,0.800128721
Project C,Quarter3,Junior,9,0.8,26.16,10620,63,0,59,0.800117103
Project C,Quarter3,Junior,4,0.7,22.52,10260,63,0,57,0.750068049
Project C,Quarter3,Junior,10,0.7,22.52,10080,63,0,56,0.750057359
Project C,Quarter3,Junior,3,0.7,22.52,8460,50,0,57,0.750037968
Project C,Quarter3,Junior,2,0.7,22.94,10260,50,0,57,0.750031898
Project C,Quarter3,Senior,9,0.8,3.94,1800,0,0,10,0.72830303
Project C,Quarter3,Junior,11,0.7,14.89,10260,50,0,57,0.700170388
Project C,Quarter3,Junior,5,0.7,20.4,10260,50,0,57,0.700063796
Project C,Quarter3,Senior,8,0.8,2.9,1440,0,0,8,0.639867424
Project C,Quarter3,Junior,12,0.5,15.26,3720,23,0,34,0.500290419
Project C,Quarter3,Junior,7,0.35,22.94,10080,30,0,56,0.400332792
Project C,Quarter3,Senior,11,0.7,4.15,2700,0,0,15,0.362666667
