Department,Region,quarter,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,KPi Achieved
Outside Sales,Papua,2017Q1,8480.25,3004.39,0.22,0.21,66,246,YES
Account Management,Sulawesi,2017Q1,3063.5,3565.32,0.18,0.2,23,119,NO
Business Development,NTB,2017Q1,1559.09,4080.56,0.12,0.17,12,28,NO
Sales Enablement,Bali,2017Q1,2415.18,1231.2,0.38,0.56,18,40,YES
Channel Sales,Jawa,2017Q1,318.64,1538.91,0.8,0.6,2,7,NO
Key Accounts,Sumatra,2017Q1,999.14,3305.15,0.2,0.32,9,42,NO
Sales Analytics,Kalimantan,2017Q1,9791.05,7333.82,0.23,0.24,86,431,YES
Customer Success,Papua,2017Q1,6627.2,4479.29,0.28,0.3,51,100,YES
Sales Training,Sulawesi,2017Q1,6798.11,1915.93,0.45,0.3,59,238,YES
Strategic Partnerships,NTB,2017Q1,6893.27,7145.04,0.18,0.27,53,95,NO
Sales Support,Bali,2017Q1,1269.2,4978.9,0.23,0.34,10,29,NO
Retail Sales,Jawa,2017Q1,6868.99,2783.45,0.23,0.18,53,181,YES
E-commerce Sales,Sumatra,2017Q1,5519.95,7491.47,0.39,0.23,36,86,NO
Enterprise Sales,Kalimantan,2017Q1,3093.96,2371.74,0.07,0.2,23,79,YES
International Sales,Papua,2017Q1,5098.19,2571.65,0.32,0.26,45,80,YES
Sales Administration,Sulawesi,2017Q1,1214.4,518.62,0.22,0.52,11,27,YES
Sales Engineering,NTB,2017Q1,2510.52,1328.93,0.63,0.47,20,92,YES
Sales Operations,Bali,2017Q1,1554.7,2388.69,0.15,0.23,12,37,NO
Inside Sales,Jawa,2017Q1,7601.57,6189.88,0.3,0.18,65,214,YES
Outside Sales,Sumatra,2017Q1,2501.21,2260.89,0.26,0.23,20,89,YES
Account Management,Kalimantan,2017Q1,2973.6,3709.12,0.1,0.2,24,85,NO
Business Development,Papua,2017Q1,6180.45,5091.49,0.24,0.2,45,202,YES
Sales Enablement,Sulawesi,2017Q1,151.53,2079.88,0.4,0.58,3,12,NO
Channel Sales,NTB,2017Q1,2871.98,2327.75,0.68,0.46,20,88,YES
Key Accounts,Bali,2017Q1,8773.27,2669.77,0.4,0.32,74,385,YES
Sales Analytics,Jawa,2017Q1,2623.1,6954.71,0.26,0.25,20,40,NO
Customer Success,Sumatra,2017Q1,6328.61,2423.22,0.11,0.22,47,168,YES
Sales Training,Kalimantan,2017Q1,3505.52,6726.21,0.51,0.3,28,144,NO
Strategic Partnerships,Papua,2017Q1,6671.81,4116.6,0.51,0.33,54,252,YES
Sales Support,Sulawesi,2017Q1,9681.75,2519.77,0.51,0.29,82,275,YES
Retail Sales,NTB,2017Q1,9154.41,3104.18,0.1,0.19,86,210,YES
E-commerce Sales,Bali,2017Q1,8132.83,3913.11,0.31,0.28,68,255,YES
Enterprise Sales,Jawa,2017Q1,2825.35,3537.76,0.13,0.19,20,106,NO
International Sales,Sumatra,2017Q1,157.15,5438.49,0.26,0.27,2,3,NO
Sales Administration,Kalimantan,2017Q1,2069.7,1517.99,0.38,0.38,14,31,YES
Sales Engineering,Papua,2017Q1,1858.19,1003.26,0.34,0.5,16,31,YES
Sales Operations,Sulawesi,2017Q1,6888.96,3284.87,0.15,0.19,58,210,YES
Inside Sales,NTB,2017Q1,3927.67,3260.68,0.11,0.19,35,121,YES
Outside Sales,Bali,2017Q1,8947.51,5239.21,0.3,0.21,74,365,YES
Account Management,Jawa,2017Q1,2235.77,3426.38,0.07,0.16,15,42,NO
Business Development,Sumatra,2017Q1,3138.13,3550.97,0.21,0.17,23,83,NO
Sales Enablement,Kalimantan,2017Q1,1612.01,1063.44,0.48,0.58,14,66,YES
Channel Sales,Papua,2017Q1,2850.25,977.88,0.26,0.5,22,67,YES
Key Accounts,Sulawesi,2017Q1,7092.04,4043.2,0.39,0.31,58,258,YES
Sales Analytics,NTB,2017Q1,7525.93,3374.63,0.18,0.22,58,334,YES
Customer Success,Bali,2017Q1,2047.9,3492.59,0.35,0.21,15,63,NO
Sales Training,Jawa,2017Q1,4376.69,5408.77,0.21,0.35,35,140,NO
Strategic Partnerships,Sumatra,2017Q1,5184.76,3242.22,0.39,0.26,44,87,YES
Sales Support,Kalimantan,2017Q1,7778.55,6196.58,0.17,0.31,59,139,YES
Retail Sales,Papua,2017Q1,1814.04,6694.1,0.21,0.17,12,55,NO
E-commerce Sales,Sulawesi,2017Q1,2914.47,7146.73,0.26,0.31,26,138,NO
Enterprise Sales,NTB,2017Q1,4801.58,5136.93,0.2,0.21,35,141,NO
International Sales,Bali,2017Q1,7075.73,4086.66,0.32,0.25,50,208,YES
Sales Administration,Jawa,2017Q1,2310.87,1332.39,0.67,0.49,15,77,YES
Sales Engineering,Sumatra,2017Q1,1342.27,895.9,0.31,0.47,8,30,YES
Sales Operations,Kalimantan,2017Q1,7318.76,4430.42,0.23,0.18,62,120,YES
Inside Sales,Papua,2017Q1,895.81,3209.21,0.14,0.18,6,21,NO
Outside Sales,Sulawesi,2017Q1,5213.06,2445.32,0.14,0.22,41,192,YES
Account Management,NTB,2017Q1,5073.39,1545.72,0.15,0.17,42,196,YES
Business Development,Bali,2017Q1,3039.35,2100.17,0.16,0.2,23,67,YES
Sales Enablement,Jawa,2017Q1,2108.61,2000.1,0.72,0.56,16,67,YES
Channel Sales,Sumatra,2017Q1,1395.84,659.46,0.42,0.56,8,30,YES
Key Accounts,Kalimantan,2017Q1,9492.58,7782.35,0.25,0.3,82,452,YES
Sales Analytics,Papua,2017Q1,6147,5664.47,0.19,0.24,46,139,YES
Customer Success,Sulawesi,2017Q1,3533.05,1565.38,0.2,0.27,28,95,YES
Sales Training,NTB,2017Q1,4274.35,2798.88,0.31,0.27,29,82,YES
Strategic Partnerships,Bali,2017Q1,6477.48,2023.44,0.29,0.34,50,178,YES
Sales Support,Jawa,2017Q1,461.16,5481.68,0.18,0.33,2,6,NO
Retail Sales,Sumatra,2017Q1,642.02,3693.27,0.13,0.18,5,20,NO
E-commerce Sales,Kalimantan,2017Q1,8488.66,4308.96,0.36,0.31,72,269,YES
Enterprise Sales,Papua,2017Q1,1895.1,1614.46,0.08,0.17,15,37,YES
International Sales,Sulawesi,2017Q1,7919.28,2951.83,0.3,0.28,65,335,YES
Sales Administration,NTB,2017Q1,1824.22,1644.39,0.68,0.4,17,38,YES
Sales Engineering,Bali,2017Q1,105.87,734.4,0.25,0.49,3,14,NO
Sales Operations,Jawa,2017Q1,5435.32,2857.92,0.25,0.22,44,211,YES
Inside Sales,Sumatra,2017Q1,1738.47,4875.97,0.26,0.17,14,45,NO
Outside Sales,Kalimantan,2017Q1,7817.88,6729.11,0.1,0.16,59,278,YES
Account Management,Papua,2017Q1,2312.8,3929.53,0.27,0.17,16,59,NO
Business Development,Sulawesi,2017Q1,5133.56,1591.47,0.22,0.18,38,151,YES
Sales Enablement,NTB,2017Q1,421.37,2149.7,0.72,0.52,2,4,NO
Channel Sales,Bali,2017Q1,488.4,2560.59,0.66,0.46,3,14,NO
Key Accounts,Jawa,2017Q1,4865.1,4257.2,0.28,0.25,39,187,YES
Sales Analytics,Sumatra,2017Q1,9450.42,6989.46,0.14,0.33,87,463,YES
Customer Success,Kalimantan,2017Q1,5086.31,5020.01,0.31,0.24,36,121,YES
Sales Training,Papua,2017Q1,7604.99,7294.1,0.23,0.36,59,173,YES
Strategic Partnerships,Sulawesi,2017Q1,5627.48,4587.32,0.3,0.35,38,127,YES
Sales Support,NTB,2017Q1,2900.36,6655.22,0.45,0.27,23,70,NO
Retail Sales,Bali,2017Q1,8399.48,2992.19,0.19,0.21,71,312,YES
E-commerce Sales,Jawa,2017Q1,4327.43,2189.58,0.4,0.24,30,63,YES
Enterprise Sales,Sumatra,2017Q1,1614.1,4397.98,0.14,0.2,12,59,NO
International Sales,Kalimantan,2017Q1,5596.4,2633.49,0.1,0.29,39,200,YES
Sales Administration,Papua,2017Q1,283.41,1592.76,0.45,0.5,3,13,NO
Sales Engineering,Sulawesi,2017Q1,1929.96,1480.61,0.45,0.5,14,75,YES
Sales Operations,NTB,2017Q1,1041.11,2876.76,0.25,0.18,6,19,NO
Inside Sales,Bali,2017Q1,5599.41,4181.39,0.21,0.19,41,234,YES
Outside Sales,Jawa,2017Q1,7133.27,3442.81,0.25,0.18,66,219,YES
Account Management,Sumatra,2017Q1,1889.02,1765.11,0.11,0.15,16,45,YES
Business Development,Kalimantan,2017Q1,3879.79,4259.39,0.11,0.15,34,124,NO
Sales Enablement,Papua,2017Q1,1759.1,2056.59,0.78,0.5,14,29,NO
Channel Sales,Sulawesi,2017Q1,1055.07,843.42,0.32,0.44,6,24,YES
Key Accounts,NTB,2017Q1,2155.06,2101.58,0.29,0.25,14,65,YES
Sales Analytics,Bali,2017Q1,10808.16,5362.72,0.34,0.23,117,273,YES
Customer Success,Jawa,2017Q1,6897.15,3560.6,0.36,0.26,58,256,YES
Sales Training,Sumatra,2017Q1,4932.23,4345.68,0.21,0.27,36,166,YES
Strategic Partnerships,Kalimantan,2017Q1,9700.21,4554.94,0.45,0.31,72,334,YES
Sales Support,Papua,2017Q1,936.07,5406.97,0.16,0.27,9,39,NO
Retail Sales,Sulawesi,2017Q1,5424.77,3303.09,0.32,0.17,39,189,YES
E-commerce Sales,NTB,2017Q1,8523.63,5683,0.37,0.24,65,130,YES
Enterprise Sales,Bali,2017Q1,3786.77,3047.6,0.16,0.2,28,132,YES
International Sales,Jawa,2017Q1,7842.48,2759.24,0.29,0.26,62,216,YES
Sales Administration,Sumatra,2017Q1,2064.63,1936.76,0.29,0.4,17,33,YES
Sales Engineering,Kalimantan,2017Q1,1847.82,741.47,0.27,0.38,16,40,YES
Sales Operations,Papua,2017Q1,197.77,4063.41,0.22,0.18,2,6,NO
Inside Sales,Sulawesi,2017Q1,2332.74,5392.86,0.25,0.2,17,63,NO
Outside Sales,NTB,2017Q1,6586.93,6517.56,0.27,0.21,58,148,YES
Account Management,Bali,2017Q1,4756.82,4926.11,0.16,0.17,34,180,NO
Business Development,Jawa,2017Q1,4662.01,4827.9,0.24,0.15,34,144,NO
Sales Enablement,Sumatra,2017Q1,645.39,1246,0.64,0.52,5,21,NO
Channel Sales,Kalimantan,2017Q1,1074.72,889.75,0.62,0.54,6,14,YES
Key Accounts,Papua,2017Q1,10463.95,5042.87,0.28,0.23,138,475,YES
Sales Analytics,Sulawesi,2017Q1,635.54,4628.92,0.22,0.25,3,12,NO
Customer Success,NTB,2017Q1,854.16,5595.45,0.35,0.26,3,7,NO
Sales Training,Bali,2017Q1,9798.52,7485.61,0.39,0.3,87,163,YES
Strategic Partnerships,Jawa,2017Q1,593.9,6119.21,0.31,0.35,6,32,NO
Sales Support,Sumatra,2017Q1,9447.6,2891.25,0.36,0.34,81,215,YES
Retail Sales,Kalimantan,2017Q1,4761.19,2201.01,0.16,0.18,36,109,YES
E-commerce Sales,Papua,2017Q1,7496.94,7203.57,0.22,0.3,63,336,YES
Enterprise Sales,Sulawesi,2017Q1,2146.67,4970.91,0.24,0.18,15,58,NO
International Sales,NTB,2017Q1,3680.73,2798.71,0.2,0.3,27,123,YES
Sales Administration,Bali,2017Q1,1150.4,1282.08,0.72,0.49,6,31,NO
Sales Engineering,Jawa,2017Q1,1527.12,1128.83,0.29,0.43,14,30,YES
Sales Operations,Sumatra,2017Q1,7231.32,4970.13,0.26,0.18,58,260,YES
Inside Sales,Kalimantan,2017Q1,5297.69,6537.05,0.18,0.22,42,171,NO
Outside Sales,Papua,2017Q1,1305.85,6772.8,0.22,0.18,11,63,NO
Account Management,Sulawesi,2017Q1,1238,3437.67,0.19,0.15,9,28,NO
Business Development,NTB,2017Q1,7073.81,4845.47,0.17,0.15,53,188,YES
Sales Enablement,Bali,2017Q1,2976.64,1616.85,0.62,0.5,26,138,YES
Channel Sales,Jawa,2017Q1,1021.56,2270.71,0.78,0.44,8,37,NO
Key Accounts,Sumatra,2017Q1,6202.89,4335.93,0.42,0.28,46,124,YES
Sales Analytics,Kalimantan,2017Q1,9774.29,7241.63,0.2,0.31,86,281,YES
Customer Success,Papua,2017Q1,3370.59,5475.96,0.25,0.28,27,88,NO
Sales Training,Sulawesi,2017Q1,3046.36,3548.69,0.36,0.39,23,131,NO
Strategic Partnerships,NTB,2017Q1,5136.88,2706.52,0.34,0.3,44,110,YES
Sales Support,Bali,2017Q1,5766.41,4923.91,0.31,0.3,46,212,YES
Retail Sales,Jawa,2017Q1,1933.14,5343.84,0.22,0.18,16,30,NO
E-commerce Sales,Sumatra,2017Q1,8644.49,2279.98,0.35,0.3,74,226,YES
Enterprise Sales,Kalimantan,2017Q1,5808.17,2797.08,0.21,0.2,44,147,YES
International Sales,Papua,2017Q1,7770.84,3579.83,0.11,0.25,62,317,YES
Sales Administration,Sulawesi,2017Q1,1656.63,1818.98,0.65,0.43,14,76,NO
Sales Engineering,NTB,2017Q1,1481.83,1194.87,0.58,0.43,8,23,YES
Sales Operations,Bali,2017Q1,6282.69,2528.21,0.19,0.24,47,144,YES
Inside Sales,Jawa,2017Q1,3331.99,5318.97,0.23,0.23,23,44,NO
Outside Sales,Sumatra,2017Q1,8126.16,6182.84,0.17,0.18,72,151,YES
Account Management,Kalimantan,2017Q1,5159.46,4248.56,0.25,0.14,42,158,YES
Business Development,Papua,2017Q1,608.43,3749.95,0.27,0.21,4,19,NO
Sales Enablement,Sulawesi,2017Q1,2677.88,1491.64,0.26,0.52,22,75,YES
Channel Sales,NTB,2017Q1,3118.13,1510.52,0.62,0.58,23,57,YES
Key Accounts,Bali,2017Q1,702.27,6831.07,0.21,0.26,5,9,NO
Sales Analytics,Jawa,2017Q1,1786.33,5228.5,0.3,0.31,11,35,NO
Customer Success,Sumatra,2017Q1,1465.79,1781.15,0.36,0.26,10,45,NO
Sales Training,Kalimantan,2017Q1,2621.69,6998.46,0.18,0.33,20,55,NO
Strategic Partnerships,Papua,2017Q1,2754.6,3305.91,0.13,0.36,22,123,NO
Sales Support,Sulawesi,2017Q1,9297.35,5677.46,0.2,0.31,83,164,YES
Retail Sales,NTB,2017Q1,3397.33,4773.97,0.23,0.19,27,87,NO
E-commerce Sales,Bali,2017Q1,2924.27,7128.39,0.18,0.26,23,105,NO
Enterprise Sales,Jawa,2017Q1,3511.28,2218.26,0.19,0.18,27,122,YES
International Sales,Sumatra,2017Q1,7863.18,2715.39,0.39,0.27,58,99,YES
Sales Administration,Kalimantan,2017Q1,797.43,1359.69,0.56,0.49,6,32,NO
Sales Engineering,Papua,2017Q1,183.87,1420.89,0.45,0.52,2,5,NO
Sales Operations,Sulawesi,2017Q1,2843.34,5869.3,0.22,0.19,22,60,NO
Inside Sales,NTB,2017Q1,6113.22,4946.69,0.24,0.22,47,238,YES
Outside Sales,Bali,2017Q1,6323.76,6073.93,0.23,0.23,46,110,YES
Account Management,Jawa,2017Q1,4652.96,2497.13,0.16,0.18,39,91,YES
Business Development,Sumatra,2017Q1,5254.95,1646.44,0.13,0.19,40,74,YES
Sales Enablement,Kalimantan,2017Q1,679.41,904.92,0.52,0.6,6,28,NO
Channel Sales,Papua,2017Q1,1922.36,2423.82,0.7,0.46,14,45,NO
Key Accounts,Sulawesi,2017Q1,9179.5,4930.21,0.37,0.3,80,293,YES
Sales Analytics,NTB,2017Q1,3888.98,2712.54,0.43,0.23,32,66,YES
Customer Success,Bali,2017Q1,7659.5,5155.8,0.32,0.3,66,213,YES
Sales Training,Jawa,2017Q1,9965.15,6390.56,0.27,0.36,80,160,YES
Strategic Partnerships,Sumatra,2017Q1,327.9,4885.4,0.31,0.35,2,7,NO
Sales Support,Kalimantan,2017Q1,6983.76,5154.88,0.45,0.38,59,211,YES
Retail Sales,Papua,2017Q1,1183.8,2940.13,0.09,0.23,11,20,NO
E-commerce Sales,Sulawesi,2017Q1,6313.31,7551.48,0.19,0.23,42,170,NO
Enterprise Sales,NTB,2017Q1,5895.27,4831.69,0.13,0.17,48,134,YES
International Sales,Bali,2017Q1,1230.91,5527.84,0.19,0.25,10,35,NO
Sales Administration,Jawa,2017Q1,314.91,1845.53,0.25,0.45,2,5,NO
Sales Engineering,Sumatra,2017Q1,1875.2,1627.63,0.68,0.43,14,63,YES
Sales Operations,Kalimantan,2017Q1,7099.06,2529.04,0.18,0.17,58,284,YES
Inside Sales,Papua,2017Q1,4738.98,3843.68,0.31,0.16,34,182,YES
Outside Sales,Sulawesi,2017Q1,3630.28,4026.5,0.31,0.23,27,154,NO
Account Management,NTB,2017Q1,824.92,3961.93,0.18,0.21,3,5,NO
Business Development,Bali,2017Q1,2639.75,2843.97,0.11,0.15,23,94,NO
Sales Enablement,Jawa,2017Q1,3032.24,1531.97,0.6,0.52,23,105,YES
Channel Sales,Sumatra,2017Q1,2154.34,689.52,0.68,0.44,16,65,YES
Key Accounts,Kalimantan,2017Q1,1572.47,5430.56,0.13,0.31,11,55,NO
Sales Analytics,Papua,2017Q1,2456.8,3322.07,0.4,0.25,18,43,NO
Customer Success,Sulawesi,2017Q1,1291.38,5330.29,0.1,0.29,11,43,NO
Sales Training,NTB,2017Q1,1649.84,2602.04,0.23,0.29,14,34,NO
Strategic Partnerships,Bali,2017Q1,6869.69,2016.78,0.13,0.36,59,152,YES
Sales Support,Jawa,2017Q1,2592.4,3690.29,0.2,0.27,21,49,NO
Retail Sales,Sumatra,2017Q1,7093.93,4455.23,0.26,0.2,57,287,YES
E-commerce Sales,Kalimantan,2017Q1,8671.41,5120.05,0.14,0.28,72,269,YES
Enterprise Sales,Papua,2017Q1,6746,1464.61,0.23,0.2,50,182,YES
International Sales,Sulawesi,2017Q1,4198.81,3418.75,0.39,0.21,35,193,YES
Sales Administration,NTB,2017Q1,1353.99,1111.25,0.56,0.45,8,22,YES
Sales Engineering,Bali,2017Q1,2526.24,615.11,0.22,0.47,23,111,YES
Sales Operations,Jawa,2017Q1,785.69,3153.69,0.23,0.2,4,19,NO
Inside Sales,Sumatra,2017Q1,3207.17,6884.15,0.21,0.2,26,57,NO
Outside Sales,Kalimantan,2017Q1,5822.15,2242.15,0.25,0.23,42,160,YES
Account Management,Papua,2017Q1,4684.97,4285.73,0.22,0.15,38,112,YES
Business Development,Sulawesi,2017Q1,3289.77,2184.38,0.14,0.17,26,95,YES
Sales Enablement,NTB,2017Q1,1520.42,832.85,0.46,0.54,11,53,YES
Channel Sales,Bali,2017Q1,1374.55,944.73,0.76,0.42,8,15,YES
Key Accounts,Jawa,2017Q1,9256.61,2579.86,0.14,0.3,72,239,YES
Sales Analytics,Sumatra,2017Q1,9038.84,5380.92,0.31,0.29,72,216,YES
Customer Success,Kalimantan,2017Q1,2707.33,1968.03,0.21,0.27,22,85,YES
Sales Training,Papua,2017Q1,7771.67,6747.21,0.42,0.39,65,371,YES
Strategic Partnerships,Sulawesi,2017Q1,6256.61,3846.84,0.35,0.29,45,235,YES
Sales Support,NTB,2017Q1,6826.02,3131.35,0.17,0.36,50,200,YES
Retail Sales,Bali,2017Q1,3602.59,5681.35,0.22,0.22,28,138,NO
E-commerce Sales,Jawa,2017Q1,9402.31,7910.06,0.39,0.29,83,168,YES
Enterprise Sales,Sumatra,2017Q1,4627.47,1398.07,0.27,0.2,35,171,YES
International Sales,Kalimantan,2017Q1,2223.68,2219.4,0.31,0.23,17,98,YES
Sales Administration,Papua,2017Q1,975.27,513.23,0.65,0.47,5,18,YES
Sales Engineering,Sulawesi,2017Q1,1141.17,718.52,0.52,0.36,8,32,YES
Sales Operations,NTB,2017Q1,7134.91,2843.25,0.18,0.18,63,324,YES
Inside Sales,Bali,2017Q1,3625.85,5468.76,0.26,0.21,29,108,NO
Outside Sales,Jawa,2017Q1,965.55,2000.74,0.12,0.21,9,15,NO
Account Management,Sumatra,2017Q1,4846.31,2353.94,0.21,0.17,39,137,YES
Business Development,Kalimantan,2017Q1,3223.21,2358.07,0.23,0.15,23,73,YES
Sales Enablement,Papua,2017Q1,1569.15,1198.63,0.6,0.5,14,60,YES
Channel Sales,Sulawesi,2017Q1,2399.23,736.29,0.44,0.52,16,59,YES
Key Accounts,NTB,2017Q1,285.28,3838.98,0.18,0.23,2,4,NO
Sales Analytics,Bali,2017Q1,2983.29,4000.49,0.11,0.3,23,55,NO
Customer Success,Jawa,2017Q1,1510.2,3082.49,0.31,0.25,12,25,NO
Sales Training,Sumatra,2017Q1,8611.4,6399.62,0.16,0.38,68,214,YES
Strategic Partnerships,Kalimantan,2017Q1,614.82,1977.25,0.49,0.38,3,7,NO
Sales Support,Papua,2017Q1,6007.44,5092.21,0.4,0.31,44,200,YES
Retail Sales,Sulawesi,2017Q1,1247.52,1836.12,0.16,0.22,9,31,NO
E-commerce Sales,NTB,2017Q1,6930.76,7048.09,0.42,0.23,56,231,NO
Enterprise Sales,Bali,2017Q1,6039.65,2242.02,0.2,0.17,44,79,YES
International Sales,Jawa,2017Q1,3221.48,2780.38,0.2,0.23,23,111,YES
Sales Administration,Sumatra,2017Q1,507.99,1275.85,0.23,0.45,3,7,NO
Sales Engineering,Kalimantan,2017Q1,2515.95,1032.26,0.58,0.5,15,83,YES
Sales Operations,Papua,2017Q1,7778.07,2952.82,0.11,0.18,59,199,YES
Inside Sales,Sulawesi,2017Q1,5793.9,5668.96,0.24,0.18,48,212,YES
Outside Sales,NTB,2017Q1,7384.41,4289.5,0.26,0.22,59,198,YES
Account Management,Bali,2017Q1,3271.22,4889.1,0.19,0.18,24,98,NO
Business Development,Jawa,2017Q1,4500.26,4656.2,0.2,0.15,36,134,NO
Sales Enablement,Sumatra,2017Q1,303.75,1507.65,0.38,0.46,2,3,NO
Channel Sales,Kalimantan,2017Q1,261.36,1634.26,0.38,0.5,3,10,NO
Key Accounts,Papua,2017Q1,820.93,7046.11,0.13,0.32,4,21,NO
Sales Analytics,Sulawesi,2017Q1,9512.65,5735.58,0.28,0.28,86,260,YES
Customer Success,NTB,2017Q1,4454.37,4860.65,0.37,0.24,36,159,NO
Sales Training,Bali,2017Q1,8373.47,5532.71,0.26,0.33,66,288,YES
Strategic Partnerships,Jawa,2017Q1,1712.23,2219.49,0.17,0.38,14,66,NO
Sales Support,Sumatra,2017Q1,3658.94,5883.61,0.33,0.29,27,88,NO
Retail Sales,Kalimantan,2017Q1,2484.55,3997.32,0.18,0.2,20,35,NO
E-commerce Sales,Papua,2017Q1,1929.77,4271.01,0.2,0.26,14,31,NO
Enterprise Sales,Sulawesi,2017Q1,2497.62,3620.58,0.24,0.18,20,37,NO
International Sales,NTB,2017Q1,656.52,1848.27,0.3,0.23,3,14,NO
Sales Administration,Bali,2017Q1,2020.12,1496.72,0.67,0.52,16,53,YES
